법정동코드2,시군구명,동리명,관리건축물대장PK,대지면적(㎡),건축면적(㎡),연면적(㎡),구조코드명,주용도코드명,높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,빌딩연차,기타용도,공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,시군구명,면적,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,숙박 및 음식점업 사업체수,RN_COUNT,RN_COUNT_under4,ROAD_BT_MEAN,RN_length_under4,RN_length_under3,RN_COUNT_under3,RN_length_under2,RN_COUNT_under2,RN_under4_rate,RN_under3_rate,RN_under2_rate,비상소화장치_count,소화용수_count,가판대_count,공영주차장수,주차 면(주차 가능 차량 수),건물수,건물구조조,건물구조즙,장소중분류,장소소분류,소방서거리(㎞),안전센터거리,부동산,동산,재산피해소계,관할인구(명),관할면적(km2)
1135010400,노원구,하계동,11350-3117,0.0,602.4,9539.58,철근콘크리트구조,공동주택,49.34,15,1,3,0,21,공동주택(아파트),315.0,1.0,131.0,1.0,0.0,3.0,2.0,60.0,69.0,1.0,노원구,1.03,40.5,88.5,3.0,0.0,0.0,749.0,111.5,101.0,21.0,7.316831683168317,64.57142857142857,186.3333333333333,3.0,9.0,1.0,0.2079207920792079,0.0297029702970297,0.0099009900990099,1.0,299.0,1.0,2.0,76.0,664.0,철근콘크리트조,슬라브가,공동주택,아파트,0.7,0.7,61.0,77.0,138,158173,6.04
1129010100,성북구,성북동,11290-3373,244.77,103.07,197.46,철근콘크리트구조,단독주택,7.7,2,1,0,0,24,다가구용 단독주택(2),77.75,0.0,575.25,8.5,0.25,3.0,0.0,52.0,54.5,0.5,성북구,2.86,80.0,169.0,4.0,0.0,0.0,1132.0,222.0,142.75,63.75,3.770882514963717,67.21882847411871,73.83996598639456,49.5,5.113636363636363,5.5,0.446584938704028,0.3467600700525394,0.03852889667250438,8.5,73.0,2.0,1.0,147.0,687.25,철근콘크리트조,슬라브가,단독주택,다가구주택,6.1,2.3,127.0,320.0,447,115114,5.55
1121510500,광진구,자양동,11215-17762,117.9,61.24,217.27,벽돌구조,단독주택,10.07,3,1,0,0,30,다가구주택,1184.0,8.0,4100.0,3.0,10.0,45.0,3.0,608.0,349.0,8.0,광진구,1.1525,73.25,254.5,7.5,5.0,0.25,1636.75,281.5,752.0,186.0,4.563969414893617,29.76344086021505,22.085714285714282,35.0,0.0,0.0,0.2473404255319149,0.04654255319148936,0.0,14.0,496.0,5.0,8.0,67.375,6449.0,벽돌조,슬라브가,단독주택,다가구주택,2.3,2.3,62.0,0.0,62,151201,7.32
1144011500,마포구,상수동,11440-18445,230.0,137.14,595.89,철근콘크리트구조,공동주택,11.3,4,1,0,0,23,"공동주택(다세대주택), 제2종근린생활시설",80.2,0.0,129.4,0.8,0.2,4.2,0.4,29.8,63.0,0.4,마포구,1.45,104.0,529.0,14.0,0.0,0.0,1779.0,529.0,46.25,19.5,5.162721414408461,41.91666666666667,32.125,5.25,24.0,1.0,0.4216216216216217,0.11351351351351352,0.021621621621621626,2.333333333333333,47.75,0.0,1.0,171.0,309.2,철근콘크리트조,슬라브가,공동주택,다세대주택,1.2,1.2,80.0,18.0,98,59818,3.11
1130510100,강북구,미아동,11305-13505,0.0,95.72,249.92,벽돌구조,공동주택,0.0,2,1,0,0,32,공동주택,2185.0,8.0,8268.0,3.0,34.0,22.0,6.0,1010.0,456.0,4.0,강북구,0.8799999999999999,58.6,301.6,7.6,6.6,4.0,1539.8,300.6,1718.0,1167.0,3.2216251455180447,38.9083119108826,33.888440860215056,744.0,30.77037037037037,270.0,0.6792782305005821,0.4330616996507567,0.15715948777648428,0.0,644.0,10.0,13.0,64.38461538461539,12129.0,철근콘크리트조,슬라브가,공동주택,다세대주택,1.8,1.2,0.0,110.0,110,81973,2.83
1147010300,양천구,신월동,11470-2957,0.0,497.44,2952.32,철근콘크리트구조,공동주택,0.0,5,1,0,0,30,아파트,2635.0,0.0,3210.0,4.0,7.0,37.0,11.0,692.0,427.0,6.0,양천구,0.7057142857142856,26.142857142857142,140.42857142857142,2.857142857142857,2.2857142857142856,0.0,1284.142857142857,143.57142857142858,635.0,216.0,5.97939527559055,12314.328703703706,10515.666666666666,42.0,25215.0,4.0,0.3401574803149607,0.06614173228346458,0.006299212598425197,11.0,1566.0,1.0,24.0,108.45833333333329,7134.0,철근콘크리트조,슬라브가,공동주택,아파트,5.6,1.2,0.0,11.0,11,80589,3.4
1153010300,구로구,가리봉동,11530-11598,0.0,70.49,204.83,벽돌구조,단독주택,0.0,2,1,0,0,27,다가구용단독주택(5가구),203.0,1.0,1032.0,0.0,8.0,3.0,1.0,134.0,64.0,2.0,구로구,0.4,48.0,174.0,9.0,0.0,0.0,986.0,281.0,294.0,205.0,3.7142857142857135,485.80179024390236,348.9939015151515,132.0,129.73766666666668,45.0,0.6972789115646258,0.4489795918367347,0.15306122448979592,10.0,222.0,0.0,3.0,82.0,1396.0,벽돌조,슬라브가,단독주택,다가구주택,3.8,1.8,0.0,57.0,57,56560,3.92
1153010200,구로구,구로동,11530-22496,0.0,49.62,151.56,벽돌구조,단독주택,0.0,2,1,0,0,26,다가구용단독주택(4가구),1658.0,133.0,4717.0,3.0,37.0,149.0,14.0,891.0,519.0,52.0,구로구,1.0580000000000003,74.2,372.6,7.2,10.0,0.0,4545.6,483.6,1092.0,648.0,4.435915750915751,880.5702391975308,882.7723558897244,399.0,558.7012987012987,154.0,0.5934065934065934,0.36538461538461536,0.14102564102564102,27.0,946.0,24.0,17.0,73.6470588235294,7506.0,벽돌조,와가,단독주택,단독주택,2.4,0.7,0.0,9.0,9,72640,3.25
1130510100,강북구,미아동,11305-14524,0.0,689.95,12976.05,철근콘크리트구조,공동주택,53.9,20,1,3,0,14,공동주택,2185.0,8.0,8268.0,3.0,34.0,22.0,6.0,1010.0,456.0,4.0,강북구,0.8799999999999999,58.6,301.6,7.6,6.6,4.0,1539.8,300.6,1718.0,1167.0,3.2216251455180447,38.9083119108826,33.888440860215056,744.0,30.77037037037037,270.0,0.6792782305005821,0.4330616996507567,0.15715948777648428,0.0,644.0,10.0,13.0,64.38461538461539,12129.0,철근콘크리트조,슬라브가,공동주택,아파트,3.9,0.5,0.0,110.0,110,86400,2.64
1162010200,관악구,신림동,11620-100240392,126.6,75.56,299.76,철근콘크리트구조,단독주택,9.0,3,1,0,0,2,단독주택,3111.0,1.0,11013.0,5.0,125.0,194.0,8.0,1330.0,1980.0,12.0,관악구,1.6490909090909092,48.54545454545455,214.45454545454547,5.181818181818182,5.0,15.181818181818182,1313.2727272727273,287.54545454545456,2261.0,462.0,5.412050862450244,997.5150779220784,50.43351851851855,243.0,41.14649999999997,94.0,0.20433436532507737,0.10747456877487838,0.04157452454666077,109.0,1691.0,16.0,15.0,77.60000000000001,18231.0,철근콘크리트조,슬라브가,단독주택,다가구주택,5.0,1.8,411.0,660.0,1071,85595,3.37
