법정동코드2,시군구명,동리명,빌딩연차,관리건축물대장PK,기타용도,구조코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),주용도코드명,높이(m),지상층수,지하층수,세대수(세대),가구수(가구),공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,건물수,fire_YN
1162010100,관악구,봉천동,30,11620-24484,주택,벽돌구조,0.0,0.0,417.12,단독주택,0.0,2,1,0,1,3054.0,3.0,7238.0,4.0,35.0,261.0,9.0,1036.0,1088.0,3.0,13884157.754444443,441157317.0,379196479.0,57677777.777777776,51600000.0,46900000.0,53366666.666666664,209555555.55555555,13042.111111111111,25913.777777777777,38482.88888888889,41.23333333333334,3632.222222222222,0.1393247948888889,47.888888888888886,213.66666666666666,6.777777777777778,3.5555555555555554,4.0,1231.3333333333333,12955.0,0
1150010300,강서구,화곡동,35,11500-7443,주택,벽돌구조,0.0,52.95,105.66,단독주택,0.0,2,1,0,1,5320.4375,2.8125,5104.1875,4.9375,120.0,126.125,5.8125,911.6875,832.0625,8.5,11483558.133750001,187623870.375,265048389.25,65012500.0,57050000.0,51237500.0,59375000.0,232750000.0,13640.125,31827.5,36610.5,42.0125,4250.375,0.145576168125,57.5,270.75,7.625,16.75,13.25,1598.875,12622.125,0
1147010200,양천구,목동,19,11470-8791,다가구주택,철근콘크리트구조,263.1,157.44,609.62,단독주택,10.65,3,1,0,10,2177.0,4.0,1933.0,12.0,5.0,50.0,5.0,394.0,388.0,4.0,10855236.35,755488334.0,660559334.0,64560000.0,62700000.0,63080000.0,66360000.0,256600000.0,11388.8,31624.4,33905.6,39.76,3212.0,0.10414516199999999,88.4,237.0,13.0,3.2,0.8,1642.0,5022.0,0
1117011900,용산구,효창동,16,11170-4383,공동주택(아파트),철근콘크리트구조,4143.7,1659.55,14078.42,공동주택,35.66,13,2,87,0,209.0,0.0,498.0,2.0,0.0,4.0,0.0,52.0,55.0,5.0,10132575.76,11813027.0,8713104.0,25500000.0,26800000.0,27200000.0,27300000.0,107000000.0,3750.0,9054.0,20577.0,41.8,1295.0,0.143030705,14.0,42.0,2.0,0.0,0.0,462.0,806.0,0
1153010200,구로구,구로동,24,11530-3518,근린생활시설,철근콘크리트구조,0.0,0.0,410.68,제1종근린생활시설,0.0,1,1,0,0,1658.0,133.0,4717.0,3.0,37.0,149.0,14.0,891.0,519.0,52.0,11257883.34,430189118.0,614179723.0,57980000.0,66120000.0,72200000.0,64420000.0,260600000.0,11802.0,29284.8,32138.2,42.92,3747.8,0.1261043822,74.2,372.6,7.2,10.0,0.0,4545.6,7506.0,0
1138010500,은평구,구산동,57,11380-19150,식당,벽돌구조,0.0,0.0,61.98,노유자시설,0.0,1,0,0,0,867.0,0.0,795.0,0.0,1.0,0.0,0.0,90.0,64.0,2.0,7065217.39,37207301.0,19397738.0,67000000.0,59400000.0,51700000.0,56000000.0,234000000.0,12981.0,34132.0,24733.0,43.7,5615.0,0.164508379,61.0,109.0,10.0,1.0,0.0,1205.0,1879.0,0
1144010400,마포구,도화동,20,11440-9224,단독주택,철근콘크리트구조,62.75,46.05,159.01,단독주택,10.7,3,1,0,1,138.58333333333334,3.472222222333333,465.19444443333333,0.25,0.9166666666666666,16.86111111,0.27777777766666667,97.22222222333333,73.25,3.3055555556666665,13718632.38,180335922.0,169299067.66666666,61766666.666666664,60400000.0,58566666.666666664,60533333.333333336,241666666.66666666,12524.0,28666.0,39035.0,41.96666666666666,4008.6666666666665,0.13910806166666667,83.66666666666667,401.3333333333333,10.666666666666666,6.0,11.0,2459.3333333333335,671.75,0
1123010300,동대문구,제기동,58,11230-17297,주택,일반목구조,0.0,0.0,47.37,단독주택,0.0,1,0,0,1,322.0,4.0,2663.0,3.0,6.0,16.0,2.0,878.0,318.0,21.0,10346045.2,66170404.0,71423018.0,69300000.0,74500000.0,80500000.0,69000000.0,293000000.0,12984.0,27576.0,23369.0,46.1,5302.0,0.192268639,62.0,431.0,9.0,4.0,0.0,4750.0,4007.0,0
1154510300,금천구,시흥동,12,11545-11472,공동주택(다세대주택),철근콘크리트구조,260.0,155.28,519.58,공동주택,13.4,5,0,8,0,1471.0,43.0,4069.0,4.0,17.0,70.0,11.0,497.0,412.0,27.0,5287071.906,205156139.0,161063423.0,42660000.0,38980000.0,37100000.0,40620000.0,159400000.0,9460.8,23231.0,18521.2,44.46,3757.4,0.16586484380000002,37.6,176.6,5.4,5.4,5.0,1788.0,6721.0,0
1144012500,마포구,성산동,43,11440-30899,주택,벽돌구조,0.0,61.19,74.15,단독주택,0.0,1,1,0,1,710.75,7.0,871.75,1.5,2.25,40.25,3.0,101.5,203.5,7.5,8170918.88,83125386.5,99089604.5,66200000.0,64750000.0,62200000.0,64350000.0,257500000.0,13979.5,31093.0,22860.0,41.45,4259.0,0.13681138199999998,82.0,203.5,11.0,0.5,0.0,1617.5,2000.0,0
